"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C3,C4,C5","100n","","Soldered footprints:0603C","4",""
"C2,C6","10u","","Soldered footprints:1206C","2",""
"DM1","SKU: 700153","","Soldered footprints:PCB","1",""
"K1","HEADER_MALE_5X1","","Soldered footprints:HEADER_MALE_5X1","1",""
"K2","HEADER_MALE_2X1","","Soldered footprints:HEADER_MALE_2X1","1",""
"K3","HEADER_MALE_4X1","","Soldered footprints:HEADER_MALE_4X1","1",""
"Q1","MMBT4403","","Soldered footprints:SOT-23-3","1",""
"R1,R2","100R","","Soldered footprints:0603R","2",""
"R3","20k","","Soldered footprints:0603R","1",""
"R4","8k2","","Soldered footprints:0603R","1",""
"R5","10R","","Soldered footprints:0603R","1",""
"U1","HX711","","Soldered footprints:SOP-16","1",""
